fid,x,y,xa,ya
15,-292.5,127.2,-280.2990538146857,135.81891070608754
15,-292.5,227.2,-283.01567048873744,227.3575660465303
16,-272.5,127.2,-262.3063595945476,135.60045792540743
16,-272.5,227.2,-264.6370830044858,226.89539577374413
17,-252.5,127.2,-244.19387678422572,135.26378146133612
17,-252.5,227.2,-246.17632365748042,226.8870705571282
18,-232.5,127.2,-225.93031018861797,134.6975019209755
18,-232.5,227.2,-227.7650021302421,226.55233394253383
19,-212.5,127.2,-207.62890684214878,134.8370890944049
19,-212.5,227.2,-209.40309209382073,226.34496403138962
21,-372.5,247.2,-357.56040792645155,246.35407190855838
22,-352.5,147.2,-335.5015929212073,154.51875345362967
22,-352.5,247.2,-339.40707969945447,246.9582641755112
23,-332.5,147.2,-317.4347348434967,154.78703452458058
23,-332.5,247.2,-320.8073498992892,246.4287328926904
24,-312.5,147.2,-299.0755712553963,154.17109930595961
24,-312.5,247.2,-302.3181383446834,246.52407935836553
25,-292.5,147.2,-281.0106985457248,154.00604499340108
25,-292.5,247.2,-283.6535654027404,245.93635265471414
26,-272.5,147.2,-262.6950713342329,153.6239134235185
26,-272.5,247.2,-265.11891476598174,245.44091408543898
27,-252.5,147.2,-244.37079820692756,152.9274014285879
27,-252.5,247.2,-246.89833412706884,245.58399980469758
28,-232.5,147.2,-226.19780247358207,153.17978809824058
28,-232.5,247.2,-228.23502351009154,245.1767232496998
29,-212.5,147.2,-207.47661256986612,152.4306350538825
29,-212.5,247.2,-209.77708368150033,245.08737105089358
30,-392.5,167.2,-354.40913457592615,172.94515030293147
30,-392.5,267.2,-358.6243357144383,265.48149423897047
31,-372.5,167.2,-336.15768382883914,173.04616488038073
31,-372.5,267.2,-340.0052211940126,265.6208991140625
32,-352.5,167.2,-317.7822262719117,172.3470592215765
32,-352.5,267.2,-321.3538185990724,265.33539462336824
33,-332.5,167.2,-299.7330479052221,172.5601736998425
33,-332.5,267.2,-302.9247488760839,265.5440715059877
34,-312.5,167.2,-281.52587669839625,172.39362570268563
34,-312.5,267.2,-284.3135791018278,264.86050149147763
35,-292.5,167.2,-263.1418337778708,171.90084337558616
35,-292.5,267.2,-265.59956100518446,264.419568445364
36,-272.5,167.2,-244.79924320349738,171.5297407294545
36,-272.5,267.2,-247.1195272186181,263.9773681777239
37,-252.5,167.2,-226.3924151829097,171.21998934384666
37,-252.5,267.2,-228.56597769880486,263.83645778059156
38,-232.5,167.2,-207.9528764734062,170.7930572545259
38,-232.5,267.2,-210.0790432890818,263.8089034479853
39,-212.5,267.2,-377.47195915616334,265.8660651460849
41,-372.5,287.2,-359.59879735249774,284.49223503342466
42,-352.5,187.2,-336.72136106345863,190.94057761822586
42,-352.5,287.2,-340.6979907515261,284.20911665501285
43,-332.5,187.2,-318.5220499217257,190.71492117938453
43,-332.5,287.2,-321.81920428072283,283.96427047063787
44,-312.5,187.2,-300.2335518946569,190.89115071631738
44,-312.5,287.2,-303.266641028463,284.1605596142226
45,-292.5,187.2,-282.14876814717417,190.92142475145076
45,-292.5,287.2,-284.40990072669587,283.5607856258727
46,-272.5,187.2,-263.5680477016136,190.2535554773339
46,-272.5,287.2,-265.7421552253721,283.0434711361307
47,-252.5,187.2,-245.15191274522465,189.78198991157385
47,-252.5,287.2,-247.34230720791794,283.15967803015366
48,-232.5,187.2,-226.91662235470545,189.55980929262745
48,-232.5,287.2,-228.56661985594383,282.32608397453674
49,-212.5,187.2,-208.5931007288318,189.30890937678421
49,-212.5,287.2,-210.42695332968555,282.84178531165094
1,-367.5,107.2,-348.5404753921533,119.16031723019911
